file,supergroup,group,subgroup,title
,(I),,,(Vocal music)
oratorios,,A,,Oratorios
masses,,B,,Masses
requiems,,C,,"Requiems, Libera"
liturgical_works,,D,,Short liturgical works
,,,1,Motets
,,,2,Offertories
,,,3,Responsories
,,,4,Rorates
,,,5,Miscellaneous
german_works,,E,,German sacred music
hymns,,F,,Hymns
litanies,,G,,Litanies
vespers,,H,,Vespers
,,,1,Complete vespers
,,,2,Psalms
,,,3,Magnificats
marian_antiphons,,I,,Marian antiphons
,,,1,Alma redemptoris mater
,,,2,Ave regina coelorum
,,,3,Regina coeli
,,,4,Salve regina
,,,5,Sub tuum praesidium
te_deums,,J,,Te Deums
lamentations,,K,,Lamentations
profane_vocal,,L,,Profane vocal music
,(II),,,(Instrumental music)
sonatas,,M,,Sonatas
pastorellas,,N,,Pastorellas
partitas,,O,,Partitas
sinfonias,,P,,Sinfonias
concertos,,Q,,Concertos
